Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
146 Beacon St #1,42.354722,-71.075538,0,0,0,0,1,0,12667500,14065000,Condominium,1880,2,2020
9 Miner St,42.346697,-71.103109,0,0,0,0,0,0,12640000,14330000,Apartment,2014,3,2012
40-44 Parker Hill Ave,42.332004,-71.109456,0,0,0,0,0,0,12612500,2025000,Apartment,0,2,2020
50 Sutherland Rd,42.338166,-71.149674,0,0,0,0,0,0,12467500,3501000,Apartment,1993,3,2019
1 Dalton St #5004,42.345267,-71.084125,0,0,0,0,1,0,12287000,0,Condominium,2015,1,2020
1 Dalton St #4602,42.345267,-71.084125,0,0,0,0,1,0,12280000,0,Condominium,2015,1,2020
288 Chestnut Hill Ave,42.338495,-71.153569,0,0,0,0,0,0,12225000,6450000,Apartment,1910,2,2013
10-18 Brainerd Rd,42.348951,-71.130359,0,0,0,0,0,0,12100000,0,Apartment,1930,1,2015
1834 Centre St,42.286596,-71.153877,0,0,0,0,0,0,12000000,0,Condominium,0,1,2006
776 Boylston St #W12B,42.348809,-71.081814,0,0,0,0,1,0,11950000,0,Condominium,2008,1,2014
220 Boylston St #1515,42.352207,-71.068581,0,0,0,1,1,0,11925000,9150000,Condominium,1985,2,2012
40 Beacon St #3,42.356807,-71.06672,0,0,0,0,0,0,11883500,5550000,Condominium,1899,3,2012
25 Beacon St #PH,42.357195,-71.06499,0,0,0,0,0,0,11833500,0,Condominium,2017,1,2017
1474 Tremont St,42.331865,-71.098112,0,0,0,0,0,0,11550000,21900000,Single-Family,1850,2,2022
10-16 Vinal St,42.34597,-71.138264,0,0,0,0,0,0,11500000,0,Apartment,1960,1,2021
20 Louisburg Sq,42.358141,-71.068991,0,0,0,0,0,0,11500000,0,Single-Family,1830,1,2011
146 Beacon St #3,42.354722,-71.075538,0,0,0,0,1,0,11426500,16547000,Condominium,1880,2,2020
146 Beacon St #2,42.354722,-71.075538,0,0,0,0,1,0,11250000,16900000,Condominium,1880,2,2020
750 Dorchester Ave,42.32454,-71.05672,0,0,0,0,0,0,11200000,0,Condominium,0,1,2011
